process	task_id	hash	native_id	module	container	tag	name	status	exit	submit	start	complete	duration	realtime	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	attempt	workdir	scratch	queue	cpus	memory	disk	time	env
readCounts	28	f4/4e1b8f	191915	-	-	-	readCounts (4)	CACHED	0	1693502651720	1693502651793	1693502736755	85035	518	71.5	0.0	3162112	8835072	3162112	8835072	5449308	2728027	892	347	0	0	1	/mnt/c/RSYNC/Repositories/crispr-seq/work/f4/4e1b8f61d8b48b6578d5216274660f	-	-	1	2147483648	-	7200000	PATH=$PATH:/mnt/c/RSYNC/Repositories/crispr-seq/bin

alignStats	27	87/6e01fb	192070	-	-	-	alignStats (4)	CACHED	0	1693502683417	1693502683492	1693502726338	42921	138	20.5	0.0	3268608	8835072	3268608	8835072	184532	3242	289	17	0	0	1	/mnt/c/RSYNC/Repositories/crispr-seq/work/87/6e01fb47a290479b6b005e622039cd	-	-	1	2147483648	-	7200000	PATH=$PATH:/mnt/c/RSYNC/Repositories/crispr-seq/bin

cleanup	6	93/98eecd	210314	-	-	-	cleanup (1)	COMPLETED	0	1694036585044	1694036585139	1694036612634	27590	69	49.2	0.0	3182592	8835072	3182592	8835072	192341	190	298	12	0	0	1	/mnt/c/RSYNC/Repositories/crispr-seq/work/93/98eecd06a7ace71e56c73fdb8f3623	-	-	1	2147483648	-	7200000	PATH=$PATH:/mnt/c/RSYNC/Repositories/crispr-seq/bin

cleanup	12	65/0bcdfb	210342	-	-	-	cleanup (3)	COMPLETED	0	1694036585333	1694036585454	1694036612701	27368	71	36.9	0.0	3248128	8835072	3248128	8835072	192341	190	298	12	0	0	1	/mnt/c/RSYNC/Repositories/crispr-seq/work/65/0bcdfb5214cb2f46929caa7cf6f005	-	-	1	2147483648	-	7200000	PATH=$PATH:/mnt/c/RSYNC/Repositories/crispr-seq/bin

cleanup	14	c5/5290ee	210321	-	-	-	cleanup (4)	COMPLETED	0	1694036585127	1694036585240	1694036635001	49874	56	64.0	0.0	3133440	8835072	3133440	8835072	192341	190	298	12	0	0	1	/mnt/c/RSYNC/Repositories/crispr-seq/work/c5/5290ee7f64b4896e9b033d827102b2	-	-	1	2147483648	-	7200000	PATH=$PATH:/mnt/c/RSYNC/Repositories/crispr-seq/bin

cleanup	9	7b/39a1e7	210544	-	-	-	cleanup (2)	COMPLETED	0	1694036612698	1694036612774	1694036637261	24563	108	57.1	0.0	3207168	8835072	3207168	8835072	192340	190	298	12	0	0	1	/mnt/c/RSYNC/Repositories/crispr-seq/work/7b/39a1e70723433f1eaf435fc9d85166	-	-	1	2147483648	-	7200000	PATH=$PATH:/mnt/c/RSYNC/Repositories/crispr-seq/bin

alignStats	21	99/c0349f	210548	-	-	-	alignStats (1)	COMPLETED	0	1694036612747	1694036612874	1694036637313	24566	154	51.2	0.0	3198976	8835072	3198976	8835072	182711	1617	289	17	0	0	1	/mnt/c/RSYNC/Repositories/crispr-seq/work/99/c0349fca9bc6b6427b3a7777710072	-	-	1	2147483648	-	7200000	PATH=$PATH:/mnt/c/RSYNC/Repositories/crispr-seq/bin

alignStats	26	46/d8aef2	210671	-	-	-	alignStats (3)	COMPLETED	0	1694036635032	1694036635101	1694036671343	36311	53	29.6	0.0	3170304	8835072	3170304	8835072	182230	1229	289	17	0	0	1	/mnt/c/RSYNC/Repositories/crispr-seq/work/46/d8aef2136004ee0242e386e60ee6dd	-	-	1	2147483648	-	7200000	PATH=$PATH:/mnt/c/RSYNC/Repositories/crispr-seq/bin

alignStats	24	f0/25a82a	210871	-	-	-	alignStats (2)	COMPLETED	0	1694036637306	1694036637360	1694036673386	36080	52	31.4	0.0	3117056	8835072	3117056	8835072	183334	2145	289	17	0	0	1	/mnt/c/RSYNC/Repositories/crispr-seq/work/f0/25a82a2e7d70e5c3da02a39acb48bc	-	-	1	2147483648	-	7200000	PATH=$PATH:/mnt/c/RSYNC/Repositories/crispr-seq/bin

